,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
1781,200810703D,Ecosystèmes continentaux et risques environnementaux,ECCOREV,2008,Structures Fédératives de Recherche,3,3,http://eccorev.cerege.fr/,Eupôle méditerranéen de l'Arbois,13545,AIX EN PROVENCE CEDEX 4,HEULIN,Thierry,DIR,FR 3098;;;;;;;;,"Centre national de la recherche scientifique;Université Aix-Marseille;Université de Toulon;Université Avignon et Pays du Vaucluse;Commissariat à l'énergie atomique et aux énergies alternatives;Institut de recherche pour le developpement;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Institut de Radioprotection et de Sureté Nucléaire;Institut National de l'environnement industriel et des risques",CNRS;AIX-MARSEILLE;TOULON;AVIGNON;CEA;IRD;INRAE;IRSN;INERIS,EPST;UNIV;UNIV;UNIV;EPIC;EPST;EPST;EPIC;EPIC,Organismes de type EPST;Université;Université;Université;Organismes de type EPIC;Organismes de type EPST;Organismes de type EPST;Organismes de type EPIC;Organismes de type EPIC,0753639Y;0134009M;0830766G;0840685N;0912281K;0133973Y;;0922643Y;0602098E,18008901303720;13001533200013;19830766200017;19840685200204;77568501900587;18000602500159;18007003901803;44054601800027;38198492100019,TUTE;TUTE;PART;PART;PART;PART;PART;PART;PART,établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant;établissement participant;établissement participant;établissement participant;établissement participant,201220334E;201220330A;201220324U;201220322S;201220240C,,,,,,3;10,"Sciences de la terre et de l'univers, espace;Sciences agronomiques et écologiques",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810703D&PUBLIC=OK,
1782,200812273K,"CHIMIE ET INTERDISCIPLINARITE : SYNTHESE, ANALYSE, MODELISATION",CEISAM,2008,Unité mixte,22,2,http://www.sciences.univ-nantes.fr/CEISAM/ceisam.php,2 rue de la Houssinière,44322,NANTES CEDEX 3,BOULER,Jean-Michel,DIR,UMR 6230;UMR 6230,Centre national de la recherche scientifique;Nantes Université,CNRS;Nantes Université,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0442953W,18008901303720;13002974700016,TUTE;TUTE,établissement tutelle;établissement tutelle,200810705F,200810705F,200012107P;199612308A;199213365S,fusion;fusion;fusion,F;F;F,2008;2008;2008,4,Chimie,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200812273K&PUBLIC=OK,grid.462886.6
1783,200410632U,Institut Wolfgang Döblin,IWD,2004,Structures Fédératives de Recherche,3,3,,Avenue Joseph VALLOT,06108,Nice Cedex 2,FRISCH,Thomas,DIR,FR 2800;;,Centre national de la recherche scientifique;Université Côte d'Azur;Observatoire de la Côte d'Azur Nice,CNRS;UCA;OBSV. COTE D'AZUR,EPST;UNIV;AUT_ETAB,Organismes de type EPST;Université;Autres établissements ESR,0753639Y;0062205P;0060099A,18008901303720;13002566100013;19061563300012,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,1;2,Mathématiques et leurs interactions;Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410632U&PUBLIC=OK,
1785,200410852H,Maison Asie Pacifique,MAP,1999,Unité mixte,22,2,http://www.maison-asie-pacifique.fr/,3 place Victor Hugo,13003,MARSEILLE,BERTAUX-PICHARD;REVOLON,Louise;Sandra,DIR;Dir Adj,UAR 1885;UMS 1885,Centre national de la recherche scientifique;Université Aix-Marseille,CNRS;AIX-MARSEILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0134009M,18008901303720;13001533200013,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,6;7,Sciences humaines et humanités;Sciences de la société,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410852H&PUBLIC=OK,
1786,200310864A,Pluridisciplinarité au service de l'observation et de la recherche en environnement et astronomie,POREA,2002,Unité mixte,22,2,http://www.oasu.u-bordeaux1.fr,Allée Geoffroy Saint-Hilaire,33615,PESSAC CEDEX,GIRAUDEAU,Jacques,DIR,UAR 2567;UMS 1485;UMS 2567;UMS 2567;UMS 2567;,"Centre national de la recherche scientifique;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Université de Bordeaux;Université Bordeaux Montaigne;Université Pau et Pays de l'Adour;Institut Polytechnique Bordeaux",CNRS;INRAE;BORDEAUX;BORDEAUX 3;PAU;Bordeaux INP,EPST;EPST;UNIV;UNIV;UNIV;AUT_ETAB,Organismes de type EPST;Organismes de type EPST;Université;Université;Université;Autres établissements ESR,0753639Y;;0333298F;0331766R;0640251A;0333232J,18008901303720;18007003901803;13001835100010;19331766600017;19640251500270;13000635600013,TUTE;TUTE;TUTE;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant,199512085M,199512085M,,,,,2;4;5;6,"Physique;Chimie;Biologie, médecine et santé;Sciences humaines et humanités",PE9,"Universe Sciences : Astro-physics/-chemistry/-biology;solar system;planetary systems;stellar, galactic and extragalactic astronomy;cosmology;space sciences;astronomical instrumentation and data",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310864A&PUBLIC=OK,
1788,200012115Y,"CHIMIE ORGANIQUE, BIOORGANIQUE : RÉACTIVITÉ ET ANALYSE",COBRA,2000,Unité mixte,22,2,http://www.lab-cobra.fr/,1 Rue Tesnière,76821,MONT ST AIGNAN CEDEX,OULYADI;LEVACHER;JUBAULT,Hassan;Vincent;Philippe,DIR-ADJ;Directeur par intérim;Directeur adjoint,UMR 6014;UMR 6014;UMR 6014,Institut National des Sciences Appliquées Rouen;Université Rouen;Centre national de la recherche scientifique,INSA ROUEN;ROUEN;CNRS,AUT_ETAB;UNIV;EPST,Autres établissements ESR;Université;Organismes de type EPST,0760165S;0761904G;0753639Y,19760165100023;19761904200017;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,200810697X,,,,,4,Chimie,PE5,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012115Y&PUBLIC=OK,grid.463703.5
1789,201521685K,Service de physique de l'état condensé,SPEC,2015,Unité mixte,22,2,http://www-drecam.cea.fr/spec/,Orme des Merisiers,91191,GIF SUR YVETTE CEDEX - ST AUBIN,ROCHE;PANNETIER-LECOEUR,Patrice;Myriam,Directeur;Directrice adjointe,UMR 3680;UMR 3680;UMR 3680,Commissariat à l'énergie atomique et aux énergies alternatives;Centre national de la recherche scientifique;Université Paris-Saclay,CEA;CNRS;U PARIS-SACLAY,EPIC;EPST;UNIV,Organismes de type EPIC;Organismes de type EPST;Université,0912281K;0753639Y;0912408Y,77568501900587;18008901303720;13002602400013,TUTE;PART;PART,établissement tutelle;établissement participant;établissement participant,,199118598J,,,,,2,Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521685K&PUBLIC=OK,grid.462531.7
1791,200711910V,LABORATOIRE ECOLOGIE FONCTIONNELLE ET ENVIRONNEMENT,ECOLAB,2006,Unité mixte,22,2,http://www.ecolab.omp.eu/,118 route de Narbonne,31062,TOULOUSE CEDEX 9,CEREGHINO;GILBERT,Régis;Franck,Directeur;Directeur-adjoint,UMR 5245;UMR 5245;UMR 5245,Institut National Polytechnique Toulouse;Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique,INP TOULOUSE;TOULOUSE 3;CNRS,AUT_ETAB;UNIV;EPST,Autres établissements ESR;Université;Organismes de type EPST,0311381H;0311384L;0753639Y,19311381800127;19311384200010;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,200719584L,200314984D;200311849W;200311844R,fusion;fusion;fusion,F;F;F,2007;2007;2007,3;10,"Sciences de la terre et de l'univers, espace;Sciences agronomiques et écologiques",PE10;LS9,"Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711910V&PUBLIC=OK,grid.463775.4
1792,200711931T,Laboratoire de Génie Electrique de Grenoble,G2Elab,2006,Unité mixte,22,2,http://www.g2elab.grenoble-inp.fr,21 rue des Martyrs,38031,GRENOBLE CEDEX 1,LEMBEYE;HADJ-SAID,Yves;Nouredine,DIR-ADJ;Directeur,UMR 5269;UMR 5269;UMR 5269,Institut polytechnique de Grenoble;Centre national de la recherche scientifique;Université Grenoble Alpes,GRENOBLE INP;CNRS;GRENOBLE ALPES,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0381912X;0753639Y;0383546Y,19381912500017;18008901303720;13002608100013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,199511973R;199511961C,fusion;fusion,F;F,2007;2007,2;8,Physique;Sciences pour l'ingénieur,PE3;PE8,"Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711931T&PUBLIC=OK,grid.462755.7
1793,199412029F,DYNAMIQUE DU LANGAGE,,1995,Unité mixte,22,2,http://www.ddl.ish-lyon.cnrs.fr/,14 avenue Berthelot,69363,LYON CEDEX 07,GUILLAUME,Antoine,DIR,UMR 5596;UMR 5596,Université Lumière Lyon 2;Centre national de la recherche scientifique,LYON 2;CNRS,UNIV;EPST,Université;Organismes de type EPST,0691775E;0753639Y,19691775100014;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,201119599K;200219848V,,,,,6,Sciences humaines et humanités,SH4,"The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199412029F&PUBLIC=OK,grid.463954.9
1794,199512032E,GEOGRAPHIE DE L'ENVIRONNEMENT,GEODE,1995,Unité mixte,22,2,http://w3.geode.univ-tlse2.fr/,5 allées Antonio Machado,31058,TOULOUSE CEDEX 9,PY-SARAGAGLIA;BAL,Vanessa;Marie-Claude,Directrice;Directrice adjointe,UMR 5602;UMR 5602;,Université Toulouse - Jean Jaurès;Centre national de la recherche scientifique;Institut national universitaire Jean-François Champollion,TOULOUSE 2;CNRS;INU CHAMPOLLION,UNIV;EPST;AUT_ETAB,Université;Organismes de type EPST;Autres établissements ESR,0311383K;0753639Y;0811293R,19311383400017;18008901303720;19811201300018,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,6,Sciences humaines et humanités,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512032E&PUBLIC=OK,
1795,198512095S,Laboratoire de Physique Subatomique et de Cosmologie,LPSC,1995,Unité mixte,22,2,http://lpsc.in2p3.fr/,25 AVENUE DES MARTYRS,38026,GRENOBLE CEDEX 1,LUCOTTE;DEROME,Arnaud;Laurent,DIR;Directeur adjoint,UMR 5821;UMR 5821;UMR 5821,Institut polytechnique de Grenoble;Centre national de la recherche scientifique;Université Grenoble Alpes,GRENOBLE INP;CNRS;GRENOBLE ALPES,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0381912X;0753639Y;0383546Y,19381912500017;18008901303720;13002608100013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,2;8,Physique;Sciences pour l'ingénieur,PE2;PE9;PE8,"Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics;Universe Sciences : Astro-physics/-chemistry/-biology;solar system;planetary systems;stellar, galactic and extragalactic astronomy;cosmology;space sciences;astronomical instrumentation and data;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=198512095S&PUBLIC=OK,grid.472561.3
1796,199512055E,LABORATOIRE DE CHIMIE ET PHYSIQUE QUANTIQUE,LCPQ,1995,Unité mixte,22,2,http://www.lcpq.ups-tlse.fr/,118 Route de Narbonne,31062,TOULOUSE CEDEX 9,LEININGER;GUIHERY,Thierry;Nathalie,DIRECTEUR;DIRECTRICE ADJOINTE,UMR 5626;UMR 5626,Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique,TOULOUSE 3;CNRS,UNIV;EPST,Université;Organismes de type EPST,0311384L;0753639Y,19311384200010;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,,,PE4;PE2,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512055E&PUBLIC=OK,grid.494623.e
1797,199412070A,HISTOIRE ET ARCHEOLOGIE DES MONDES CHRETIENS ET MUSULMANS MEDIEVAUX,CIHAM,1995,Unité mixte,22,2,http://ciham.ish-lyon.cnrs.fr/,14 avenue Berthelot,69363,LYON CEDEX 07,NICOUD;AILLET;CARRIER;BURESI,Marylin;Cyrille;Nicolas;Pascal,Directrice;Directeur adjoint;Directeur adjoint;Directeur adjoint,UMR 5648;UMR 5648;UMR 5648;UMR 5648;UMR 5648;UMR 5648,Université Lumière Lyon 2;Université Jean Moulin Lyon 3;Ecole des Hautes Etudes en Sciences Sociales Paris;Université Avignon et Pays du Vaucluse;Centre national de la recherche scientifique;Ecole Normale Supérieure de Lyon,LYON 2;LYON 3;EHESS PARIS;AVIGNON;CNRS;ENS LYON,UNIV;UNIV;AUT_ETAB;UNIV;EPST;AUT_ETAB,Université;Université;Autres établissements ESR;Université;Organismes de type EPST;Autres établissements ESR,0691775E;0692437Z;0753742K;0840685N;0753639Y;0694123G,19691775100014;19692437700282;19753742600011;19840685200204;18008901303720;13000812100019,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,201420876K,,,,,6,Sciences humaines et humanités,SH6,The Study of the Human Past : Archaeology and history,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199412070A&PUBLIC=OK,grid.463846.b
1798,199812077R,Unité de mathématiques pures et appliquées de l'ENS de Lyon,UMPA/ENSL,1999,Unité mixte,22,2,http://www.umpa.ens-lyon.fr,46 allée d'Italie,69364,LYON CEDEX 07,DEGLISE,Frédéric,Directeur,UMR 5669;UMR 5669;UMR 5669,Centre national de la recherche scientifique;Ecole Normale Supérieure de Lyon;Institut national de la recherche en informatique et automatique,CNRS;ENS LYON;INRIA,EPST;AUT_ETAB;EPST,Organismes de type EPST;Autres établissements ESR;Organismes de type EPST,0753639Y;0694123G;0780491K,18008901303720;13000812100019;18008904700013,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,200919006Z,201119599K,,,,,1,Mathématiques et leurs interactions,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199812077R&PUBLIC=OK,grid.464112.4
1799,199812078S,LABORATOIRE DE PHYSIQUE DE L'ENS DE LYON,,1999,Unité mixte,22,2,http://www.ens-lyon.fr/PHYSIQUE/,46 Allée d'Italie,69364,LYON CEDEX 07,GEMINARD;DAUXOIS,Jean-Christophe;Thierry,Directeur;DIR,UMR 5672;UMR 5672,Centre national de la recherche scientifique;Ecole Normale Supérieure de Lyon,CNRS;ENS LYON,EPST;AUT_ETAB,Organismes de type EPST;Autres établissements ESR,0753639Y;0694123G,18008901303720;13000812100019,TUTE;TUTE,établissement tutelle;établissement tutelle,,201119599K;201119590A,,,,,1;3;4;5;8,"Mathématiques et leurs interactions;Sciences de la terre et de l'univers, espace;Chimie;Biologie, médecine et santé;Sciences pour l'ingénieur",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199812078S&PUBLIC=OK,grid.462608.e
1800,199512080G,LABORATOIRE ONDES ET MATIERE D'AQUITAINE,LOMA,1997,Unité mixte,22,2,http://www.loma.cnrs.fr/,351 cours de la Libération,33405,TALENCE CEDEX,PISTOLESI;PISTOLESI;KELLAY;KELLAY,Fabio;Fabio;Hamid;Hamid,Directeur;Directeur;Directeur adjoint;Directeur adjoint,UMR 5798;UMR 5798,Centre national de la recherche scientifique;Université de Bordeaux,CNRS;BORDEAUX,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0333298F,18008901303720;13001835100010,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,2,Physique,PE2;PE3,"Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512080G&PUBLIC=OK,grid.462773.3
1801,199911943R,CENTRE DE RECHERCHE SUR LA LANGUE ET LES TEXTES BASQUES,IKER,1999,Unité mixte,22,2,http://www.iker.cnrs.fr/,15 place Paul Bert,64100,BAYONNE,ETXEBERRIA,Urtzi,DIR,UMR 5478;UMR 5478;UMR 5478,Université Bordeaux Montaigne;Université Pau et Pays de l'Adour;Centre national de la recherche scientifique,BORDEAUX 3;PAU;CNRS,UNIV;UNIV;EPST,Université;Université;Organismes de type EPST,0331766R;0640251A;0753639Y,19331766600017;19640251500270;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,201119529J;200219848V,,,,,6,Sciences humaines et humanités,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911943R&PUBLIC=OK,grid.503186.9
1802,197311954R,Matériaux : Ingénierie et Science,MATEIS,1995,Unité mixte,22,2,http://www.insa-lyon.fr/mateis,7 avenue Jean Capelle,69621,VILLEURBANNE CEDEX,MAIRE,Eric,DIR,UMR 5510;UMR 5510;UMR 5510,Institut National des Sciences Appliquées Lyon;Université Claude Bernard Lyon 1;Centre national de la recherche scientifique,INSA LYON;LYON 1;CNRS,AUT_ETAB;UNIV;EPST,Autres établissements ESR;Université;Organismes de type EPST,0690192J;0691774D;0753639Y,19690192000013;19691774400019;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,200710696A;200719561L;201119599K;201220467Z,,,,,2;4;5;8,"Physique;Chimie;Biologie, médecine et santé;Sciences pour l'ingénieur",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=197311954R&PUBLIC=OK,grid.462614.3
1803,199511960B,Laboratoire Hubert Curien,,1995,Unité mixte,22,2,http://laboratoirehubertcurien.fr,18 rue Benoît Lauras,42000,ST ETIENNE,GARRELIE;SEBBAN,Florence;Marc,DIR;DIR-ADJ,UMR 5516;UMR 5516;UMR 5516;UMR 5516,Université Jean Monnet Saint-Etienne;Centre national de la recherche scientifique;Ecole Supérieure de Chimie Physique Electronique de Lyon;Institut Optique Graduate School,SAINT-ETIENNE;CNRS;CPE LYON;IOGS,UNIV;EPST;AUT_ETAB;AUT_ETAB,Université;Organismes de type EPST;Autres établissements ESR;Autres établissements ESR,0421095M;0753639Y;0693623N;0910725U,19421095100423;18008901303720;39189510900026;78461698900033,TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement participant;établissement participant,,,201119436H,intégration,I,2016,8;9,Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511960B&PUBLIC=OK,grid.463785.b
